"LEAR.1"	"LEAR.2"	"LEAR.3"	"LEAR.4"	"LEAR.5"	"LEAR.6"	"DOXY.1"	"DOXY.2"	"DOXY.3"	"DOXY.4"	"DOXY.5"	"DOXY.6"	"CONTR.1"	"CONTR.2"	"CONTR.3"	"CONTR.4"	"CONTR.5"	"FUNCTION"
"Gene.1"	10.7764549531061	11.5486478307311	11.1344018330957	11.790030885199	11.3609679196577	12.0257202237218	13.2393243711544	13.1993307827203	13.2982850972334	13.2177813407961	12.9397239133268	12.4555512691488	10.9424035935364	11.4014003155415	11.3012478813193	11.2363279353763	11.2188229744589	1
"Gene.2"	9.54276010124418	9.41927507669159	9.98230845362808	10.3567857100424	9.89089341874203	10.045066420676	9.89667307217463	9.71000081772213	10.2707733222165	9.34087728571491	9.84407254715029	9.92783726624392	9.67100285305697	10.3255660752699	9.94684086039538	9.87700864570359	9.96601847466154	1
"Gene.3"	11.1610488850003	10.8431267623525	10.765587935167	10.6964511710208	10.790082325749	10.5543726042257	10.9756695078166	10.4689621559735	11.1825262288862	10.8265353685992	10.061760309263	11.2041833220734	11.4717517023524	10.6492728655514	10.6880219656322	10.6934669389381	11.0662254777203	1
"Gene.4"	6.1410758181167	6.6934858305464	6.62706826022792	6.41918904140232	6.79295246852985	6.27642709756608	6.11656329715233	6.19814762925726	6.45182464652609	7.2023403808937	6.97408127703855	6.20757861190999	6.24381694136942	6.1990312341792	6.14083182871972	6.67556296974511	6.8886504474529	0
"Gene.5"	5.23717478694347	4.58564345027961	5.52609883374439	5.35179487482562	5.73861095827075	5.44465797685959	4.99295189473602	5.10617315970764	5.3623814931779	5.39637163796311	5.72077417346922	5.4439062785584	5.15201234366549	5.52918822837994	5.35167186996889	4.97804968938408	5.19552975610397	0
"Gene.6"	7.88095434099866	7.21165139828233	6.7962676355927	7.11690801526237	6.87696294970218	6.95879161102689	7.22544324711364	7.05489083265692	7.12486348468809	6.76755099100284	7.00261525241582	7.4023013299341	7.32439758370515	7.37726102281127	6.62978632500067	6.8109327175348	6.58433182299383	0
"Gene.7"	8.90889112305692	9.39475953517916	8.78713112599126	9.33189895780902	8.80236307171618	8.94865263784195	8.84825816588565	9.06448019777254	9.03426814920011	8.79400455194644	8.98649490329763	9.59023476084452	8.92710578503394	8.45731308130328	9.01297204537925	8.90853490902753	8.79738539810985	0
"Gene.8"	11.1056196822469	11.1006335205307	11.2279774336773	11.8114380251589	11.4060957243775	11.34128411698	11.4404465696018	10.970535282363	11.6085788584301	11.1737164517441	11.2283004143193	11.0499041292129	11.4082263267002	11.1512521864903	11.744832560352	11.1331016710499	11.3177420559005	0
"Gene.9"	5.67755351912155	5.68627840769122	5.71340405160326	5.29750998828498	5.82305364130551	5.37717344504115	6.0692797516826	5.38865001495295	5.11621214580618	5.6136003240739	5.63100723652207	5.89490746893412	5.59649396538631	5.41542823729891	5.98602503543189	6.07362640672673	5.63677131619198	0
"Gene.10"	5.13629454494614	4.58471310553725	5.06815352041899	4.60562052714191	4.55364748446032	5.11992589573285	4.51610480896883	5.50261910496875	5.07358878632554	4.78301366287851	5.50281006073207	4.92207722594924	4.94100179027031	4.92057375326357	4.9960554404167	4.5608408221433	5.11037848825327	0
"Gene.11"	11.748484485182	12.2381178732782	12.117846085616	11.933551468045	11.948325422688	12.1726503287301	12.3543885215426	11.7710256710774	12.6670441832832	12.0847052520028	11.5694972136588	11.9040906916355	12.163818986154	11.3757088356386	11.9805104900249	12.2343082657521	11.940685841992	0
"Gene.12"	11.1537599841937	10.6979753964319	10.3321290580736	10.3332837692763	10.9140692124423	10.8052487785757	10.5590445351071	10.38233373012	10.5194343405135	11.2331133332549	10.765488173763	10.3902162094186	10.8480621989098	10.9906690831134	10.9612583046538	10.5423369629023	10.6034129077775	0
"Gene.13"	8.76679661594845	8.09795551663659	8.19125297861117	7.14281983545523	8.29713445564905	7.91219801580368	8.14306201937754	8.05917388899896	8.02565905617455	8.54819998794461	8.61310859233878	8.31294947436283	7.6032658776274	7.95489997845948	8.41393056060752	7.80305919858172	8.75892180797243	0
"Gene.14"	7.08436807744021	7.0262715741609	7.74768046426453	7.20381559996409	7.11591104417806	7.09406842969115	7.44588427266487	7.16301894382971	6.88239065414896	7.10268767975768	6.95457829186538	7.13271776206973	7.25631355938467	7.15373857031754	7.30608393716017	7.29444922929342	6.9619407443012	0
"Gene.15"	5.23201193077427	6.04347232785019	5.01009392439751	4.89618458395	5.27358450640063	5.02695732294735	5.75246979304596	4.35777462549559	5.60914709939207	5.52812191178452	5.13694510395359	5.15070402684116	5.40968834700484	5.01732376784092	4.87220650762511	5.34674157458012	5.18958813935297	0
"Gene.16"	7.18647501517205	6.90719322440131	7.56882207742333	7.65654019061878	7.06430684105138	6.76700180428032	7.30539563102655	7.4407720687082	7.19289932200198	7.24651012270856	7.31165618555703	7.13248356793225	6.98744202363805	7.24259334179615	7.29754688194226	7.00822089265373	7.39927334745976	0
"Gene.17"	16.6137514643308	16.3530634313642	16.4541723018482	16.5182627063141	15.9517145390631	15.9506451162337	17.0543939535156	16.3193933153731	16.7683234016632	16.2202187495592	16.3296288601328	16.3364747819155	16.0718640288385	16.8743649715195	16.0991846932274	16.2195808862369	17.052194819291	0
"Gene.18"	7.58617528432653	7.59560639678797	7.67757973921617	7.19117582264586	7.97780644142084	7.78442335081855	4.82630857925538	5.31922344891076	5.01090232656983	5.0986670330688	5.73120527339003	5.24471139812327	8.00185254704592	7.33925933799061	7.47972490095686	7.65592374749092	7.23064740999923	0
"Gene.19"	12.5186601792412	12.880905548133	12.5491974556945	12.9805984799673	12.6006220694363	13.4854919284625	13.4322716758092	13.1878131534142	12.5617796316272	13.1987485167137	13.381396286655	13.1037799492183	12.6677584156799	12.6884950345559	13.2337477902986	13.1038854628902	13.0704379102732	0
"Gene.20"	9.23760833654926	9.54570384908521	9.03197694420139	9.1765720818821	9.02012887125991	8.84791178468886	8.8117423234138	9.06714090211522	8.84265650913651	9.01371395592574	9.42534622317934	9.1419894244614	8.65654564991551	8.76727953627148	8.84348595634699	8.59159646077482	9.57989379918994	0
"Gene.21"	6.66484726760012	6.60114580034545	6.51164452683193	6.27962712149544	6.2906418244518	6.76055860379882	6.26908214831051	7.25772728173298	6.36039453871818	6.52018622724538	6.3878154813995	6.16753129218002	6.00176999875845	6.28386736974844	6.23677910451001	6.26312967094943	6.23775258444594	0
"Gene.22"	6.38764137000927	7.17536770911875	6.75763631700761	6.17704494113172	6.68235760921242	6.86228826223595	6.79231593440974	6.96642049040421	6.80586666926103	6.68799814714792	7.15126738715626	6.54805013234727	6.62038374372574	6.7175805622407	7.01139687767986	6.7701578114621	6.93255639351234	0
"Gene.23"	4.301273222142	4.44916250757088	4.29373786499531	4.40063498005872	4.31402690237219	4.08173676551706	3.72870356638608	4.12746243705972	4.11973729153934	4.32698705742127	4.34226679230344	4.55928160117246	4.27189079098128	4.33166106921747	3.73281665000785	4.3078965271944	4.36440167232696	0
"Gene.24"	10.4580536649165	10.672320027162	11.0088046326489	10.1966015204484	10.3631289396778	10.8231072096835	10.8013946952141	11.2082491390188	11.1092301307372	10.6373591187122	10.717080825571	10.4629675735826	10.9697053187267	10.8111482278866	10.5405029136937	10.351091623987	10.5149967201564	0
"Gene.25"	5.55329525474719	5.53905709347332	5.85194839735241	5.84740911101942	5.5391472177558	5.85620053433317	5.80720518083324	5.62550471957866	4.95441764320781	5.53035493078984	5.48938060547339	5.54786604368561	5.2921653195921	5.78500751652761	5.63835444555063	5.76812859018119	5.82793741554787	0
"Gene.26"	6.79510684767792	6.40198430450521	7.03940471515188	6.89305331781202	6.64435894084475	6.7366717488936	7.03520852007783	6.96821257188924	7.24629826517189	6.6413224812752	7.15627012176242	6.97305955416149	7.48888549071994	6.81511068025005	6.94527573670213	7.38485357147583	7.24614043730232	0
"Gene.27"	6.93246272672804	7.20418852179393	6.82701178499301	7.15726416806465	7.21844717643837	6.38132240786153	6.52833307080442	6.60945962870828	7.29117409901392	7.00330286452473	6.95472399959357	7.67002387410032	7.17396914983849	6.93462361354113	7.37493742016886	6.62907389545281	7.40593070196782	0
"Gene.28"	9.7476222050572	9.92320400814778	10.2795488332671	9.79174298737474	9.91058621747473	10.3697342094332	10.379631667441	10.2854067986017	10.1197131348061	9.95088935920094	10.3205736553391	10.4242320780975	10.1084896667163	10.0899472646108	10.4563301787118	10.5441907818457	9.95278494334107	0
"Gene.29"	11.2671761398768	11.0782882067934	11.0621430630975	11.3352486506063	11.406963338104	11.0203892438091	11.1356429436437	11.3171480632287	10.7821861200251	11.2208161566609	11.1338516832479	10.8412700839096	11.3026229061087	11.2815823667205	10.8976208380732	11.0155629115566	10.3974231968222	0
"Gene.30"	9.32800089934643	9.29187178333546	9.51444060949724	8.97687161210583	9.94183313967681	8.94988318767741	8.87163206133084	9.23240474172243	9.33201371028333	9.62242155174475	9.0953077388514	9.13959391738919	9.07698181777013	9.34229261412627	9.24114090367218	9.25976190958921	9.54401932280527	0
"Gene.31"	7.66059828858336	8.22405623271404	7.99144499250363	8.5055019766039	7.72857769105846	7.76222647480223	7.85391398100408	7.73238421730906	7.49694062833224	7.38204018383821	7.47909025065766	7.82975732493877	7.56021532259014	7.96622889769486	7.82499861563573	8.23410739252362	7.85275401456725	0
"Gene.32"	5.25324031763842	5.76429433248056	4.46948566582798	4.66228247965518	4.95045224661034	4.81651512676363	4.97802326888705	5.0610371336256	4.92058742488367	5.21311775848796	5.0301287807303	5.12183763642213	5.23218953738106	5.17814289018189	5.51136384742539	5.07416997287235	5.53721886866775	0
"Gene.33"	4.44857518014841	4.27400229481445	4.63750152685275	4.5012873380579	4.4246830910281	3.96324200809448	4.63565616755844	4.39335561092229	4.48043318525486	4.30442684042057	4.22309928670772	4.6450050840847	4.73318300878734	4.40699693139953	3.7133169320607	4.22529415069655	4.16679693566357	0
"Gene.34"	8.93209621941545	9.58569446842771	9.94035024903562	9.57603506968678	9.7531723768294	9.45751006972855	8.94524095986065	9.72114123875405	9.10558798832774	9.17099164299475	8.67656278620763	9.19270173267827	9.53293475944385	8.88454593940063	9.16188999241644	8.95250681390017	9.23819737539603	0
"Gene.35"	8.37852103157036	7.90210972958843	8.15536549583376	7.86910969516857	8.283486099573	7.81014146307253	5.60192979402005	5.90549154804193	5.99983414707206	5.92545386969358	6.28132182578393	6.02975706232522	7.54108966522759	7.7281870900767	8.10508268870803	8.30812324395101	7.86784460956104	0
